代码 / Code,名称 / Name,Name,代码 / Code,备注 / Notes,Notes
E16,油、气集输,Oil and gas gathering,E10/19,油、气处理、集中、储存、管道运输等。油、气处理添加剂入此。,"Oil, gas treatment, concentration, storage, pipeline transportation, etc. Oil, gas treatment additives into this."
E20,石油、天然气综合,Oil and gas - general,E20/29,术语、采样方法等。,"Terms, sampling methods, etc."
E21,原油,Crude,E20/29,,
E22,人造石油,Artificial oil,E20/29,油页岩炼制油入此。,Oil shale refining oil comes into this.
E24,天然气,Natural gas,E20/29,液化天然气入此。,Liquefied natural gas comes into this.
E30,石油产品综合,Petroleum product - general,E30/49,术语，分类，采样方法，通用分析、试验方法等。,"Terms, classification, sampling methods, general analysis, test methods, etc."
E31,燃料油,Fuel oil,E30/49,汽油、柴油、煤油等。,"Gasoline, diesel, kerosene and so on."
E33,溶剂油,Solvent oil,E30/49,抽提、洗涤、医药、油漆等用的溶剂油。,"Solvent oil for extraction, washing, medicine, paint, etc."
E34,润滑油,Lubricating oil,E30/49,基础油、内燃机油、汽轮机油、压缩机油、食品机械用油、冷冻机油、仪表油、其他机械用的石油液体润滑剂等。,"Base oils, internal combustion engine oils, turbine oils, compressor oils, food machinery oils, refrigeration oils, instrument oils, and other petroleum liquid lubricants for machinery."
E36,润滑脂,Grease,E30/49,一般用和多用途润滑脂，抗摩擦、耐热、耐冻、抗擦伤、耐化学作用等润滑脂，仪表、汽车、轴承、齿轮等特殊用途润滑脂，防护用润滑脂和密封润滑脂等。,"General-purpose and multi-purpose greases, anti-friction, heat-resistant, freeze-resistant, scratch-resistant, and chemical-resistant greases, special-purpose greases for meters, automobiles, bearings, gears, etc., protective greases, and sealing greases, etc. ."
E38,绝缘油,Insulation oil,E30/49,变压器油、电容器油、电缆油等。,"Transformer oil, capacitor oil, cable oil, etc."
E39,液压油液,Hydraulic fluid,E30/49,动力传动油（含合成的、耐热的），制动液等。,"Power transmission oil (including synthetic, heat-resistant), brake fluid, etc."
E40,合成油脂,Synthetic grease,E30/49,非矿物油制的油品。,Non-mineral oil products.
E41,真空油脂、防锈油脂,"Vacuum grease, anti-rust grease",E30/49,真空封脂、封泥、真空泵油，扩散泵油，防锈油等。,"Vacuum sealing, mud sealing, vacuum pump oil, diffusion pump oil, anti-rust oil, etc."
E42,石油蜡,Petroleum wax,E30/49,石蜡、地蜡、凡士林、液体石蜡、白色蜡、石油脂等。,"Paraffin, ground wax, petrolatum, liquid paraffin, white wax, petroleum jelly, etc."
E43,石油沥青,Asphalt,E30/49,道路沥青、建筑沥青、水工沥青、橡胶沥青等。天然沥青入此。,"Road asphalt, construction asphalt, hydraulic asphalt, rubber asphalt and so on. Natural asphalt into this."
E44,石油焦,Petroleum coke,E30/49,针焦、延迟焦、釜氏焦等。,"Needle coke, delayed coke, Kettle coke and so on."
E45,工艺用油,Process oil,E30/49,金属切削油、轧制油、热处理油、非金属加工用油、热传递油等。,"Metal cutting oil, rolling oil, heat treatment oil, non-metal processing oil, heat transfer oil, etc."
E46,炼厂气体,Refinery gas,E30/49,液化石油气燃料等。炼油生产的有机化工原料入G16/17。,Liquefied petroleum gas fuel. Refining organic raw materials into G16/17.
E49,其他石油产品,Other petroleum products,E30/49,标准油、清洗剂等。,"Standard oils, cleaning agents, etc."
E60,石油产品添加剂综合,Petroleum product additive - general,E60/69,术语，分类，通用分析、试验方法等。,"Terms, classification, general analysis, test methods, etc."
E61,添加剂,Additive,E60/69,清净、分散、抗氧、抗腐、抗磨、增粘、抗泡沫、防冰、金属钝化剂等。,"Clean, dispersed, anti-oxidant, anti-corrosion, anti-wear, viscosifying, anti-foaming, anti-icing, metal deactivators, etc."
E90,石油勘探、开发、集输设备综合,"Petroleum exploration, development, and collection and transportation equipment integration",E90/99,术语、分类、命名等。,"Terminology, classification, naming, etc."
E91,石油物探测井设备与仪器,Petroleum exploration well equipment and instruments,E90/99,地震钻机，震源设备，地面测试、记录设备，井下测试用仪器等。通用物探设备入D82，通用物探仪器入N91。,"Seismic rig, source equipment, ground testing, recording equipment, downhole testing equipment, etc. General geophysical exploration equipment into the D82, general geophysical exploration equipment into the N91."
E92,石油钻采设备与仪器,Oil drilling equipment and instruments,E90/99,油、气田钻井、修井、开采、提升专用设备与仪表，井口装置与阀门等。通用仪表入N91。,"Oil, gas field drilling, well repair, mining, lifting special equipment and instruments, wellhead devices and valves. Universal instrument into the N91."
E94,海洋石油作业用设备,Offshore oil equipment,E90/99,海洋钻机，井口、井下器具，固定采油台等。海洋钻井平台入U17。,"Marine rigs, wellheads, downhole appliances, fixed oil platforms, etc. Ocean drilling platform into U17."
E97,油、气处理设备,Oil and gas processing equipment,E90/99,加热炉、分离器等。,"Heating furnaces, separators, etc."
E98,油、气集输设备,Oil and gas gathering equipment,E90/99,油罐、气罐，油池，油、气管道等。油罐车分别入S52或T58，油船入U13，通用泵入J71。,"Oil tanks, gas tanks, oil pools, oil and gas pipelines, etc. The tanker trucks enter the S52 or T58 respectively, the oil tanker enters the U13, and the universal pump pumps into the J71."
F00,标准化、质量管理,"Standardization, quality management",F00/09,标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。,"Standardized work regulations, guidelines, quality supervision and regulations, guidelines, product quality certification systems, etc."
F01,技术管理,Technical management,F00/09,各种能源综合性技术管理标准，太阳能、生物质能、地热能等新能源技术管理标准，以及核技术领域技术管理标准。,"Various energy comprehensive technical management standards, management standards for new energy technologies such as solar energy, biomass energy, geothermal energy, and technical management standards in the field of nuclear technology."
F02,经济管理,Economic management,F00/09,各种能源综合性经济管理标准，太阳能、生物质能、地热能等新能源经济管理标准，以及核技术领域经济管理标准。,"Various energy comprehensive economic management standards, new energy economic management standards for solar energy, biomass energy, geothermal energy, and economic management standards in the field of nuclear technology."
F04,基础标准与通用方法,Basic standards and general methods,F00/09,术语，符号，分类，命名，可靠性、取样方法、通用测试、分析方法等。核测量技术入此。,"Terms, symbols, classification, nomenclature, reliability, sampling methods, general testing, analysis methods, etc. Nuclear measurement technology comes into this."
F07,电子计算机应用,Electronic computer applications,F00/09,,
F08,标志、包装、运输、贮存,"Signs, packaging, transportation, storage",F00/09,,
F09,卫生、安全、劳动保护,"Health, safety, labor protection",F00/09,放射性、核工业有害物质卫生监测与安全劳保措施，核设施的安全法规、导则，核临界安全等。,"Radiological and nuclear industry hygiene monitoring and safety labor insurance measures, safety regulations and guidelines for nuclear facilities, nuclear criticality safety, etc."
F10,能源综合,Energy - general,F10/19,,
F11,风能,Wind energy,F10/19,术语、符号、气象地域划分、通用试验方法等。风能利用装置入此。,"Terms, symbols, geographical divisions, general test methods, etc. Wind energy utilization device enters this."
F12,太阳能,Solar energy,F10/19,术语、符号、气象条件、通用试验方法、太阳能动力装置、加热装置等。太阳能电池入此。,"Terms, symbols, meteorological conditions, general test methods, solar power devices, heating devices, etc. Solar batteries into this."
F13,生物质能,Biomass energy,F10/19,术语、符号、通用试验方法、生物质能利用等。固态、液化、气体生物质能利用装置入此。入沼气池等。,"Terms, symbols, general test methods, biomass energy utilization, etc. The solid-state, liquefaction, and gas biomass energy utilization devices are incorporated herein. Into the digester and so on."
F14,海洋能,Ocean energy,F10/19,术语、符号、通用试验方法、海洋能利用等。波浪能、海流能、温差能、盐差能利用装置入此。,"Terms, symbols, general test methods, ocean energy use, etc. Wave energy, ocean current energy, temperature difference energy, and salt difference energy can be used here."
F15,地热能,Geothermal energy,F10/19,术语、符号、通用试验方法、地热能利用等。地热能利用装置入此。,"Terms, symbols, general test methods, geothermal energy utilization, and the like. The geothermal energy utilization device enters here."
F19,新能源及其他,New energy and other,F10/19,,
F20,电力综合,Power - general,F20/29,电力系统短路电流、可靠性、带电作业、供电标准、电力技术管理，节能，技术考核，电力设施环境条件等。,"Power system short-circuit current, reliability, live operation, power supply standards, power technology management, energy conservation, technical assessment, environmental conditions of power facilities, etc."
F21,电力系统,Power systems,F20/29,规划、设计、防雷接地、远动通讯调度，电网、供电管理等。,"Planning, design, lightning protection grounding, telecontrol communication, power grid, power supply management, etc."
F22,电力系统设备安装测试,Power system equipment installation test,F20/29,系统设备出厂、安装、投运检验、测试等。,"System equipment factory, installation, commissioning inspection, testing and so on."
F23,电站、电力系统运行检修,"Power station, power system operation and maintenance",F20/29,电站运行与检修，电力、输变电系统运行与检修等。各种动力、电气设备运行检修随产品入K类。,"Power station operation and maintenance, power, transmission and transformation system operation and maintenance. All kinds of power, electrical equipment operation and maintenance with the product into the K class."
F24,电力试验技术,Power test technology,F20/29,电力试验技术，预防性试验，电力运行设备测试，在线监测，电厂化学测试，电力设备检验等。,"Power test technology, preventive testing, power running equipment testing, on-line monitoring, power plant chemical testing, power equipment inspection, etc."
F25,电力安全监察,Electricity safety supervision,F20/29,电力设备运行监督，安全监察、安全管理、电业事故调查等。,"Supervision of power equipment operation, safety supervision, safety management, electrical industry accident investigation, etc."
F29,其他,Other,F20/29,,
F40,核材料、核燃料综合,"Nuclear materials, nuclear fuel - general",F40/49,术语、分类、命名、一般规则等。,"Terms, classifications, naming, general rules, etc."
F46,核材料、核燃料及其分析试验方法,"Nuclear materials, nuclear fuels and their analytical test methods",F40/49,铀、镤、钚及其化合物等。,"Uranium, thorium, thorium and their compounds."
F48,核燃料元件及其分析试验方法,Nuclear fuel element and its analytical test method,F40/49,,
F49,核材料、核燃料生产、处理设备和设施,"Nuclear materials, nuclear fuel production, processing equipment and facilities",F40/49,设计、建造、运行、退役等。,"Design, construction, operation, decommissioning, etc."
F50,同位素与放射源综合,Isotope and radioactive source - general,F50/59,术语、分类、命名、一般规则等。,"Terms, classifications, naming, general rules, etc."
F51,放射源,Radioactive source,F50/59,,
F53,同位素标记化合物,Isotope labeled compounds,F50/59,,
F54,医用同位素,Medical isotopes,F50/59,放射性药品入此。,Radioactive drugs enter this.
F60,核反应堆综合,Nuclear reactor - general,F60/69,术语、分类、命名、一般规则等。,"Terms, classifications, naming, general rules, etc."
F61,研究试验堆,Research reactor,F60/69,选址、评价、设计、计算、安装、调试、运行、维修、退役与安全等。,"Site selection, evaluation, design, calculation, installation, commissioning, operation, maintenance, decommissioning and safety."
F62,生产堆,Production reactor,F60/69,选址、评价、设计、计算、安装、调试、运行、维修、退役与安全等。,"Site selection, evaluation, design, calculation, installation, commissioning, operation, maintenance, decommissioning and safety."
F63,动力堆,Power reactor,F60/69,选址、评价、设计、计算、安装、调试、运行、维修、退役与安全等。,"Site selection, evaluation, design, calculation, installation, commissioning, operation, maintenance, decommissioning and safety."
F64,供热堆,Heating reactor,F60/69,选址、评价、设计、计算、安装、调试、运行、维修、退役与安全等。,"Site selection, evaluation, design, calculation, installation, commissioning, operation, maintenance, decommissioning and safety."
F65,核电厂核岛,Nuclear plant nuclear island,F60/69,设计、运行、安装、调试、维修、质量保证等安全规定、导则准则等。,"Design, operation, installation, commissioning, maintenance, quality assurance and other safety regulations and guidelines."
F68,核电厂退役,Retirement of nuclear power plant,F60/69,,
F69,核反应堆与核电厂核岛设备,Nuclear reactor and nuclear power plant nuclear island equipment,F60/69,堆的控制与保护装置，核燃料组件与装卸设备、压力壳、蒸发器、管系、专用容器、阀门及工具等。,"Heap control and protection devices, nuclear fuel assemblies and handling equipment, pressure vessels, evaporators, piping, special containers, valves and tools."
F70,辐射防护与监测综合,Radiation protection and monitoring integration,F70/79,术语、符号、代号、单位、基本防护原则与限值等。,"Terms, symbols, codes, units, basic protection principles and limits."
F72,核设施的幅射安全,Radiation safety at nuclear facilities,F70/79,设计、运行、退役的辐射、评价与分析、辐射屏蔽等。,"Design, operation, decommissioning radiation, evaluation and analysis, radiation shielding, etc."
F73,环境幅射防护与核医学防护,Environmental radiation protection and nuclear medicine protection,F70/79,环境影响评价、排出流控制与监测，核辐射环境监测原则与方法，工作人员医学监督，受照处理，辐射预防药物等。,"Environmental Impact Assessment, Effluent Flow Control and Monitoring, Nuclear Radiation Environmental Monitoring Principles and Methods, Medical Staff Supervision, Exposed Treatment, Radiation Prevention Medicine, etc."
F74,幅射防护监测与评价,Radiation protection monitoring and evaluation,F70/79,内外照射，个人剂量，工作场所等的监督与评价，仪表校准参考辐射等。,"Internal and external radiation, personal dose, workplace supervision and evaluation, instrument calibration reference radiation, etc."
F75,放射性三废处理,Radioactive waste treatment,F70/79,技术规定、处置方法等。,"Technical regulations, disposal methods, etc."
F77,核幅射事故应急与处理,Nuclear radiation accident emergency and treatment,F70/79,应急计划、应急设备、事故处理等。,"Emergency plan, emergency equipment, accident handling, etc."
F79,防护用具与设备,Protective equipment and equipment,F70/79,防护衣具、专用防护设备等。,"Protective clothing, special protective equipment, etc."
F80,核仪器与核探测器综合,Nuclear instrument and nuclear detector integration,F80/89,术语、环境条件及其试验方法等。,"Terms, environmental conditions and test methods."
F81,通用核仪器,Universal nuclear instrument,F80/89,谱仪、多道分析器、液闪计数器、核电子部件和其他功能单元，核仪器性能指标测试，校准刻度装置等。,"Spectrometers, multichannel analyzers, liquid scintillation counters, nuclear electronic components and other functional units, nuclear instrument performance indicators, calibration scales, etc."
F82,堆用核仪器,Nuclear reactor,F80/89,反应堆测量系统、安全系统、控制系统、保安系统、元件破损和空位系统、主控室及设备等。,"Reactor measurement systems, safety systems, control systems, security systems, component damage and void systems, control rooms, and equipment."
F83,反应堆、核电厂安全配电设备,"Reactors, nuclear power plant safety distribution equipment",F80/89,优先电源、备用电源、大型铅蓄电池等。,"Priority power supply, backup power supply, large lead storage battery, etc."
F84,幅射防护仪器,Radiation protection equipment,F80/89,环境监测核仪器、表面污染、个人剂量监测仪，排出流监测仪等。,"Environmental monitoring nuclear instruments, surface contamination, personal dose monitor, discharge flow monitor, etc."
F85,勘探采矿和工艺监测核仪器,Exploration and mining and process monitoring nuclear instruments,F80/89,辐射勘探、矿石品位分析、放射性测井、化工处理控制等。,"Radiation exploration, ore grade analysis, radioactive logging, chemical treatment control, etc."
F86,放射性同位素应用仪器,Radioisotope application instrument,F80/89,厚度计、密度计、含量计、探伤计、料位计等。,"Thickness gauge, density meter, content meter, flaw detector, level gauge, etc."
F87,医用核仪器,Medical nuclear instrument,F80/89,免疫测量装置、同位素活度计、脏器功能仪、放射性治疗机等。,"Immunoassay devices, isotope activity meters, organ function meters, radiotherapy machines, etc."
F88,核探测器,Nuclear detector,F80/89,气体探测器、闪烁探测器、半导体探测器、径迹探测器、自给能探测器、热释光剂量元件等。,"Gas detectors, scintillation detectors, semiconductor detectors, track detectors, self-powered detectors, thermoluminescent dosimeters, etc."
F90,低能加速器综合,Low energy accelerator - general,F90/99,术语、分类、一般规则等。,"Terms, classifications, general rules, etc."
F91,医用加速器,Medical accelerator,F90/99,,
F92,工农业用加速器,Industrial and agricultural accelerators,F90/99,,
FF2,异步电机,Asynchronous motor,K20/29,,
G00,标准化、质量管理,"Standardization, quality management",G00/09,标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。,"Standardized work regulations, guidelines, quality supervision and regulations, guidelines, product quality certification systems, etc."
G01,技术管理,Technical management,G00/09,技术文件管理，能源管理（如：节能通则、能源计算通则），设备、工具管理等。,"Technical document management, energy management (such as: energy saving general rules, energy computing general rules), equipment, tool management, etc."
G02,经济管理,Economic management,G00/09,计划、供销、财务、劳资管理等。,"Planning, supply and marketing, finance, labor management, etc."
G04,基础标准与通用方法,Basic standards and general methods,G00/09,术语，符号，分类，命名，取样、制样方法，通用分析、试验方法、分析数据处理等。试验室用水入此。,"Terms, symbols, classification, naming, sampling, sample preparation methods, general analysis, test methods, analytical data processing, etc. Laboratory water into this."
G07,电子计算机应用,Electronic computer applications,G00/09,,
G08,标志、包装、运输、贮存,"Signs, packaging, transportation, storage",G00/09,,
G09,卫生、安全、劳动保护,"Health, safety, labor protection",G00/09,,
G10,无机化工原料综合,Inorganic chemical raw material - general,G10/14,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G11,无机酸、碱,"Inorganic acid, alkali",G10/14,酸：硫酸、硝酸、盐酸、氯磺酸等。碱：烧碱、纯碱、氢氧化钾、碳酸氢钠等。,"Acid: Sulfuric acid, nitric acid, hydrochloric acid, chlorosulfonic acid, etc. Alkali: caustic soda, soda ash, potassium hydroxide, sodium bicarbonate, etc."
G12,无机盐,Inorganic salt,G10/14,硫酸盐、硝酸盐、氯酸盐、磷酸盐、碳酸盐及氰、硫氰、锰、卤素化合物等。炼焦生产的无机盐类入此。制盐（原盐、盐制品）入X35/39。,"Sulfates, nitrates, chlorates, phosphates, carbonates and cyanogens, thiocyanates, manganese, halogen compounds, etc. Coking production of inorganic salts into this. Salt (raw salt, salt products) into X35/39."
G13,氧化物、单质,"Oxide, single substance",G10/14,氧化物：五氧化二磷、氧化硅、氧化铝、氧化锌等。单质：黄磷、赤磷、硫、钠、镁、活性碳等。,"Oxides: Phosphorus pentoxide, silica, alumina, zinc oxide, etc. Elemental: yellow phosphorus, red phosphorus, sulfur, sodium, magnesium, activated carbon and so on."
G14,其他无机化工原料,Other inorganic chemical materials,G10/14,,
G15,有机化工原料综合,Organic chemical raw material - general,G15/19,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G16,基本有机化工原料,Basic organic chemical raw materials,G15/19,乙炔、乙烯、丙烯、丁烯、甲烷、乙烷、丙烷、苯、甲苯、二甲苯、萘、蒽、吡啶类、甲醇、乙醇等。炼油、炼焦、木材干馏生产的基本的有机化工原料入此。粮食制的酒精入X63。,"Acetylene, ethylene, propylene, butylene, methane, ethane, propane, benzene, toluene, xylene, naphthalene, anthracene, pyridines, methanol, ethanol, and the like. The basic organic chemical raw materials for oil refining, coking, and wood retorting are included here. Food-based alcohol into the X63."
G17,一般有机化工原料,General organic chemical raw materials,G15/19,脂肪族与芳香族的烃类、醚类、醛类、酸类、酐类、酯类及其衍生物，元素有机化合物等。炼油、炼焦、木材干馏生产的一般有机化工原料入此。,"Aliphatic and aromatic hydrocarbons, ethers, aldehydes, acids, anhydrides, esters and their derivatives, and organic compounds. The general organic chemical raw materials produced by refining, coking, and wood retorting are included in this."
G18,煤焦油加工产品,Coal tar processing products,G15/19,杂酚油、萘油、蒽油、防腐油、煤沥青、沥青焦等。磷甲酚、间对甲酚入此。,"Creosote oil, naphthalene oil, eucalyptus oil, antiseptic oil, coal tar pitch, pitch coke, etc. Phosphorol, p-cresol are added here."
G20,化肥基础标准与通用方法,Fertilizer basic standards and general methods,G20/29,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G21,化肥、化学土壤调理剂,"Fertilizers, chemical soil conditioners",G20/29,氮肥、磷肥、钾肥、多元肥料、微量元素肥料、化学土壤调理剂等。非化工产品的土壤调理剂入B13。,"Nitrogen fertilizers, phosphate fertilizers, potash fertilizers, multiple fertilizers, trace element fertilizers, and chemical soil conditioners. Non-chemical soil conditioners into B13."
G23,农药基础标准与通用方法,Pesticide base standards and general methods,G20/29,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G24,农药中间体,Pesticide intermediates,G20/29,,
G25,农药,Pesticide,G20/29,杀虫剂、杀菌剂、除草剂、杀鼠剂等。,"Insecticides, fungicides, herbicides, rodenticides, etc."
G26,植物生长促进剂,Plant growth promoter,G20/29,催熟剂、抑制剂等。,"Ripening agents, inhibitors, etc."
G30,合成材料综合,Synthetic material - general,G30/39,,
G31,合成树脂、塑料基础标准与通用方法,"Synthetic resin, plastic base standard and general method",G30/39,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G32,合成树脂、塑料,"Synthetic resin, plastic",G30/39,热塑性与热固性合成树脂、塑料，工程塑料等。,"Thermoplastic and thermosetting synthetic resins, plastics, engineering plastics, etc."
G33,塑料型材,Plastic profiles,G30/39,管、板、丝、棒、膜等。,"Tubes, plates, wires, rods, membranes, etc."
G34,合成橡胶基础标准与通用方法,Synthetic rubber basic standards and general methods,G30/39,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G35,合成橡胶,Synthetic rubber,G30/39,丁苯、丁腈、顺丁、氯丁、聚硫、硅、氟、乙丙、丁基、异戊、聚胺脂橡胶及胶乳等。热塑性弹性体如此。天然橡胶入B72。,"Butylbenzene, nitrile, butadiene, neoprene, polysulfide, silicon, fluorine, ethylene propylene, butyl, isoprene, polyurethane rubber and latex. Thermoplastic elastomers do this. Natural rubber into the B72."
G38,胶粘剂基础标准与通用方法,Adhesive basic standards and general methods,G30/39,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G39,胶粘剂,Adhesive,G30/39,热塑性树脂类、热固性树脂类、橡胶类胶粘剂。明胶、骨胶、皮胶入此。建筑胶剂入Q27。,"Thermoplastic resins, thermosetting resins, and rubber adhesives. Gelatin, bone glue, leather glue into this. Construction glue into Q27."
G40,橡胶制品综合,Comprehensive rubber products,G40/49,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G41,轮胎,Tires,G40/49,各种轮胎及气门芯、嘴等。,"Various tires and valve cores, mouths, etc."
G42,胶管、胶带、胶布,"Hose, tape, tape",G40/49,,
G43,橡胶密封件,Rubber seals,G40/49,机械、航空、铁路、食品、医药等用的各种型式的橡胶密封件。,"Various types of rubber seals for machinery, aviation, railways, food, medicine, etc."
G44,胶乳制品,Latex products,G40/49,医用胶乳制品入G45。,Medical latex products into the G45.
G45,医用和食品工业用橡胶制品,Rubber products for medical and food industry,G40/49,医用胶乳制品入此。,Medical latex products into this.
G47,其他橡胶制品,Other rubber products,G40/49,胶辊、胶板等。,"Rubber roller, plastic sheet and so on."
G48,再生胶,Reclaimed rubber,G40/49,,
G49,炭黑,Carbon black,G40/49,橡胶用炭黑、色素炭黑、乙炔炭黑、炭黑用原料油等。沉淀水合二氧化硅（即橡胶补强用白炭黑）入此。,"Carbon black for rubber, carbon black for pigment, carbon black for acetylene, raw oil for carbon black, and the like. Precipitated hydrated silica (ie, rubber-reinforced silica) was introduced here."
G50,涂料基础标准与通用方法,Basic standards and general methods for coatings,G50/59,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G51,涂料,Coating,G50/59,油脂油漆类、天然树脂类、合成树脂类、橡胶树脂类涂料等。天然漆入B72。绝缘漆入K15。建筑专用涂漆入Q18。,"Grease paints, natural resins, synthetic resins, rubber resin coatings, etc. Natural paint into B72. Insulation paint into K15. Painted for construction into Q18."
G52,涂料辅助材料,Coating auxiliary materials,G50/59,稀释剂、催干剂、脱漆剂、防潮剂等。石油炼制生产的涂料稀释剂入E33。,"Thinners, driers, paint removers, moisture barriers, etc. Paint thinners for petroleum refining are added to E33."
G53,颜料基础标准与通用方法,Pigment basic standards and general methods,G50/59,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G54,颜料,Pigment,G50/59,无机颜料：锌钡白、氧化铝、镉红等。有机颜料：酞菁、偶氮等。,"Inorganic pigments: lithopone, alumina, cadmium red, etc. Organic pigments: Phthalocyanine, Azo, etc."
G55,染料基础标准与通用方法,Dye basic standards and general methods,G50/59,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G56,染料中间体,Dye intermediates,G50/59,,
G57,染料,Dye,G50/59,纤维用染料、皮革用染料等。,"Fiber dyes, leather dyes, etc."
G60,化学试剂综合,Chemical reagent - general,G60/69,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G61,基准试剂,Reference reagent,G60/69,,
G62,一般无机试剂,General inorganic reagents,G60/69,酸、碱、盐、氧化物、单质试剂等。,"Acids, bases, salts, oxides, elemental reagents, etc."
G63,一般有机试剂、有机溶剂,"General organic reagents, organic solvents",G60/69,脂肪族、芳香族、元素有机化合物、衍生物等试剂及各种有机溶剂。,"Aliphatics, aromatics, elemental organic compounds, derivatives and other reagents and various organic solvents."
G64,高纯试剂、高纯物质,"High purity reagents, high purity materials",G60/69,分析用高纯试剂，电子工业、光学等用的高纯化学品。,"Analyzes high-purity reagents, high-purity chemicals used in the electronics industry, and optics."
G65,指示剂、特效试剂,"Indicators, special effects reagents",G60/69,,
G66,生化试剂、临床分析试剂,"Biochemical reagents, clinical analysis reagents",G60/69,生物染色剂入此。,Biological stains come in here.
G67,仪器分析试剂,Instrument analysis reagent,G60/69,色谱试剂、波谱试剂等。,"Chromatography reagents, spectroscopic reagents, etc."
G69,其他试剂,Other reagents,G60/69,同位素试剂等。,Isotope reagents and so on.
G70,化学助剂基础标准与通用方法,Basic standards and general methods for chemical additives,G70/79,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G71,化学助剂,Chemical additives,G70/79,合成材料用助剂、印染助剂、农药用助剂、高分子聚合用助剂等。,"Synthetic material additives, printing and dyeing auxiliaries, pesticide additives, additives for polymer polymerization."
G72,表面活性剂基础标准与通用方法,Surfactant base standard and general method,G70/79,,
G73,表面活性剂,Surfactant,G70/79,洗涤剂入Y43。,Detergent into Y43.
G74,催化剂基础标准与通用方法,Catalyst basic standards and general methods,G70/79,术语，分类，命名，通用分析、试验方法分等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G75,催化剂,Catalyst,G70/79,化肥合成、高分子聚合、石油化工催化剂及催化剂载体、分子筛等。,"Fertilizer synthesis, polymer polymerization, petrochemical catalysts and catalyst carriers, molecular sieves, etc."
G76,水处理剂基础标准与通用方法,Water treatment agent basic standard and general method,G70/79,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G77,水处理剂,Water treatment agent,G70/79,水处理剂用化工原料。水处理剂配方，罐外的入P类，罐内的随设备归类。,"Water treatment agent used chemical raw materials. Formulation for water treatment agent, class P outside the tank, classified as equipment inside the tank."
G80,感光材料基础标准与通用方法,Photosensitive material basic standard and general method,G80/84,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G81,感光材料,Photosensitive material,G80/84,片基、电影胶片、X光胶片、胶卷、特种胶片、相纸等。,"Film, film, X-ray film, film, special film, photo paper and so on."
G82,磁记录材料基础标准与通用方法,Magnetic recording material basic standard and general method,G80/84,术语，分类，命名，通用分析、试验方法等。,"Terms, classification, nomenclature, general analysis, test methods, etc."
G83,磁记录材料,Magnetic recording material,G80/84,片基、磁粉、磁带（如录音、录像、计算机、仪器用磁带）磁盘、磁卡片等。,"Film base, magnetic powder, tape (such as recording, video, computer, instrument tapes), magnetic disks, etc."
G84,照相级化学药品,Photographic grade chemicals,G80/84,电影胶片用染料入此。,Movie film is dyed here.
G85,其他化工产品综合,Other chemical products,G85/89,,
G86,工业气体与化学气体,Industrial gases and chemical gases,G85/89,工业气体、稀有气体、高纯气体、特种气体等。,"Industrial gas, rare gas, high purity gas, special gas, etc."
G89,火工产品,Fireworks products,G85/89,炸药、烟火、雷管、云雹弹及其化工原料起爆、爆破器材等。矿山用火工产品入此。,"Explosives, pyrotechnics, detonators, cloud bombs, and chemical raw materials detonated, blasting equipment, etc. Mining pyrotechnic products enter this."
G90,化工机械与设备综合,Chemical machinery and equipment integration,G90/99,术语，分类，命名，通用试验方法等。石油炼制机械与设备综合性标准入次。,"Terminology, classification, nomenclature, general test methods, etc. Petroleum refining machinery and equipment integrated standards were introduced."
G91,化工机械与设备零部件,Chemical machinery and equipment parts,G90/99,人手孔、视镜、液面计、填料密封、塔盘支座、法兰、紧固件等。石油炼制机械与设备零部件入此。非金属零部件入G94。,"Manholes, sight glass, level gauges, packing seals, tray supports, flanges, fasteners, etc. Petroleum refining machinery and equipment components are included. Non-metallic parts into the G94."
